Name;DAX 30 PERFORMANCE - PRICE INDEX;SAP;SIEMENS;BAYER;DEUTSCHE TELEKOM;BASF;VOLKSWAGEN;DAIMLER;ALLIANZ;BMW;HENKEL;FRESENIUS;CONTINENTAL;DEUTSCHE POST;ADIDAS;FRESENIUS MED.CARE;MUENCHENER RUCK.;LINDE;BEIERSDORF;E ON;DEUTSCHE BANK;FTSE 100 - PRICE INDEX;ROYAL DUTCH SHELL B;UNILEVER (UK);HSBC HDG. (ORD $0.50);BRITISH AMERICAN TOBACCO;GLAXOSMITHKLINE;SABMILLER;BP;VODAFONE GROUP;ASTRAZENECA;RECKITT BENCKISER GROUP;DIAGEO;BT GROUP;LLOYDS BANKING GROUP;BHP BILLITON;NATIONAL GRID;IMPERIAL BRANDS;RIO TINTO;PRUDENTIAL;ROYAL BANK OF SCTL.GP.;BARCLAYS
07.07.06;5681.85;41.425;65.404;36.16;12.55;31.185;53.932;38.39;122.43;38.68;27.033;14.058;75.217;21.27;37.29;29.633;106.23;61.47;38.953;30.043;75.829;5888.86;1932;1216;837.88;1406;1540;960.5;647.5;121.6;3243;1995.85;903;237.25;269.86;988.09;537.27;1487.17;2362.66;585.5;4895.89;564.51
10.07.06;5706.32;41.3;65.384;36.59;12.65;31.49;53.664;38.65;122.9;39.06;27.333;14.156;74.549;21.25;37.36;29.7;106.75;62.05;39.32;30.283;76.323;5896.9;1932;1219;843.98;1407;1535;970;645;122.62;3280;2008.56;918;237;269.37;989.02;538.17;1492.39;2340.35;585.5;4921.01;555.96
11.07.06;5616.04;40.6;63.766;36.82;12.52;31.18;52.989;38.22;121.2;38.65;27.687;14.189;74.355;20.87;37.26;29.52;106.38;62.18;39.457;29.73;75.231;5857.3;1934;1213;839.19;1393;1521;965.5;642;120.57;3248;2010.52;919.5;236.75;268.37;998.34;532.78;1482.81;2362.66;575.5;4867.97;547.86
12.07.06;5637.82;39.7;63.572;36.87;12.49;31.395;53.038;38.38;120.18;38.94;27.727;14.04;75.091;20.5;36.8;30.467;105;62.84;39.683;29.673;75.075;5860.56;1930;1218;840.93;1384;1513;982.5;640;119.29;3253;2016.38;923.5;236.25;265.4;1019.78;528.73;1485.42;2383.31;575.5;4820.52;544.27
13.07.06;5527.29;36.975;62.254;36.33;12.32;30.955;52.939;37.97;118.52;38.85;27.6;13.681;74.22;20.34;35.72;30.2;104.45;62.37;39.133;29.167;73.861;5765.02;1906;1194;825.25;1363;1485;955.5;641;116.22;3180;2029.09;915;234.25;260.69;979.7;530.53;1471.5;2321.35;559;4753.53;532.57
14.07.06;5422.22;37.125;60.974;35.95;12.2;30.415;52.433;37.68;116.01;38.35;27.707;13.278;71.915;20.28;35.25;30.167;102.33;62.26;39.18;28.587;72.466;5707.62;1903;1184;820.89;1348;1470;935.5;643;114.43;3123;1999.76;904.5;231.75;256.47;950.8;528.73;1449.75;2251.13;552;4675.38;527.17
17.07.06;5416.96;36.875;61.003;35.82;12.11;30.355;51.966;37.54;116.05;38.01;27.25;13.316;70.114;20.16;35.4;30.083;102.88;61.06;38.61;28.737;72.431;5700.97;1905;1188;826.56;1350;1478;936.5;640;114.17;3101;1996.83;899.5;230.25;257.21;941.48;528.73;1456.71;2210.65;551.5;4689.33;529.42
18.07.06;5396.85;36.05;60.577;35.86;11.99;30.275;51.28;36.93;114.95;37.63;27.077;13.222;68.613;19.71;35.34;30.2;102.05;61.24;37.98;28.767;71.902;5681.7;1890;1201;826.12;1370;1491;950;634.5;113.66;3113;1998.79;895;226.75;256.22;932.16;534.12;1457.58;2194.13;546;4658.63;529.87
19.07.06;5539.29;36.875;62.525;37.25;12.3;31.01;53.038;38.47;120.02;38.6;27;13;71.373;19.86;36.58;30.883;105.3;63.6;39.31;29.64;75.422;5777.96;1892;1227;838.76;1379;1493;963;631;116.73;3159;2022.24;901;231.5;262.17;970.38;535.47;1465.41;2296.57;571.5;4756.32;544.72
20.07.06;5545.82;35.625;62.322;37.7;12.23;30.96;52.88;38.16;119.96;38.44;27.22;12.944;72.263;19.78;36.68;31.05;105.95;63.2;41.1;29.597;75.326;5770.88;1882;1240;833.09;1383;1493;974;625;116.22;3178;2024.2;904.5;233.75;263.41;970.38;531.43;1462.8;2251.96;562.5;4728.41;547.41
